	Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	Other Journals	Publication Rate	Duration of Career	highest_degree	degree_area	Lab Size	Affiliation University	Rank	Temperature	Anomaly	County	Locale	State	R&D Rank	Percentile	R&D Expenditures
0	Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer	Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network	PLOS One, January 2013 | Volume 8 | Issue 1 | e53510	10.1371/journal.pone.0053510	2013	1-Jan	1.0		1.0		duplicated blot, shifted microscopy	1	10/9/15		1.0		1	[['PLoS One'], ['PLoS One'], ['ACS Chem Biol', 'Vet Rec', 'Cell Signal']]	[0.75, 0.75, 0.9]	4	-1	-1	3	Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	Jessica M. Esparza, Eileen Oï¿½Toole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher	Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii	PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940	10.1371/journal.pone.0053940	2013	1-Jan		1.0			duplicated colony strip	1	1/15/16		1.0		1	[['J Forensic Sci', 'PLoS One', 'Mol Biol Cell'], ['Cold Spring Harb Protoc', 'Mol Biol Cell', 'PLoS One'], ['Invest Ophthalmol Vis Sci', 'BMC Genomics', 'PLoS One'], ['Methods Cell Biol', 'Mol Biol Cell', 'Cold Spring Harb Protoc'], ['Radiographics', 'J Diabetes', 'AJR Am J Roentgenol'], ['PLoS One', 'G3 (Bethesda)', 'Am J Hum Genet'], ['Nature', 'Cell', 'Science']]	[0.42, 0.26, 0.94, 3.0, 1.0, 0.83, 3.71]	12	-1	-1	7	Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America	NaN	NaN	NaN	District of Columbia	11	DC	-1	-1	-1
2	Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London	Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome	PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285	10.1371/journal.pone.0057285	2013	2-Feb			1.0		reuse of one lane in different blot experiment	1	8/4/15		1.0		1	[['J Vis Exp', 'Mol Cancer Res', 'J Biol Chem'], ['Nat Commun', 'Neurology', 'Molecules'], ['Transbound Emerg Dis', 'Virol Sin', 'Metallomics'], ['J Clin Oncol', 'Rev Med Virol', 'Exp Ther Med'], ['J Am Dent Assoc', 'FASEB J', 'J Dent Educ'], ['J Dent Educ', 'FASEB J', 'PLoS One']]	[1.07, 11.11, 5.15, 8.0, 1.1, 0.89]	15	-1	-1	6	Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America	123	50.3	3.3	Suffolk County	21	NY	-1	-1	-1
3	Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin 	miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells	PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170	10.1371/journal.pone.0062170	2013	4-Apr	1.0			1	Duplicated / mirrored bands in blot	1	4/10/17	1.0			1	[['Food Chem Toxicol', 'Toxicol Sci', 'PLoS One'], ['Cancer Lett', 'Clin Cancer Res', 'J Comb Chem'], ['Curr Cancer Drug Targets', 'Global Health', 'J Gen Intern Med'], ['Cancer Lett', 'Curr Cancer Drug Targets', 'PLoS One']]	[0.75, 1.0, 1.17, 1.56]	20	-1	-1	4	Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong	HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity	PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904	10.1371/journal.pone.0064904	2013	5-May		1.0			multiple duplicated microscopy images	1	9/19/14		1.0		1	[['Int J Physiol Pathophysiol Pharmacol', 'Brain Sci', 'J Neuroimmune Pharmacol'], ['Science', 'Nature', 'Am J Hum Genet'], ['Cell Death Dis', 'Mol Cell Neurosci', 'Neurobiol Dis'], ['J Clin Invest', 'Nat Med', 'Am J Obstet Gynecol'], ['J Hematol Oncol', 'N Engl J Med', 'Sci Adv'], ['PLoS One', 'J Neuroimmune Pharmacol', 'Int J Physiol Pathophysiol Pharmacol'], ['Int J Physiol Pathophysiol Pharmacol', 'Brain Sci', 'J Neuroimmune Pharmacol']]	[1.95, 16.67, 0.06, 28.57, 10.53, 0.67, 3.7]	20	Ph.D	-1	7	Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America	120	49.9	2.7	Douglas County	11	NE	-1	-1	-1
5	Yang Wang, Shijie Sheng, Jianzhi Zhang, Sijana Dzinic, Shaolei Li, Fang Fang, Nan Wu, Qingfeng Zheng, Yue Yang	Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC)	PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581	10.1371/journal.pone.0063581	2013	5-May			1.0		part of blot panel reused to represent different protein	1			1.0		1	[['N Engl J Med', 'Lancet', 'J Clin Invest'], ['J Cell Physiol', 'Cell Cycle', 'Bosn J Basic Med Sci'], ['Proc Natl Acad Sci U S A', 'Front Bioeng Biotechnol', 'Curr Opin Biotechnol'], ['Clin Cancer Res', 'Bosn J Basic Med Sci', 'Cancer Metastasis Rev'], ['J Hematol Oncol', 'Zhongguo Fei Ai Za Zhi', 'Cancer Manag Res'], ['N Engl J Med', 'Front Endocrinol (Lausanne)', 'Cancer Cell'], ['Science', 'Nat Commun', 'Cancer Cell'], ['Int J Endocrinol', 'Talanta', 'Spectrochim Acta A Mol Biomol Spectrosc'], ['Cell', 'Nat Cell Biol', 'Biol Psychiatry']]	[18.18, 2.94, 10.0, 1.93, 5.45, 66.67, 40.0, 3.44, 14.29]	11	-1	-1	7	Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	Elizabeth Ngoc Hoa Tran, Matthew Thomas Doyle, Renato Morona	LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508	10.1371/journal.pone.0070508	2013	7-Jul	1.0			1	duplicated lanes within same blot, or in different blots, duplicated microscopy panel	1	10/16/14		1.0		1	[['FEMS Microbiol Lett', 'Biochim Biophys Acta Biomembr', 'PLoS One'], ['Mol Cell', 'PLoS One', 'FEMS Microbiol Lett'], ['Structure', 'Trends Mol Med', 'Trends Biochem Sci']]	[1.27, 0.78, 3.33]	11	-1	-1	3	Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science, University of Adelaide, Adelaide, Australia	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena	miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296	10.1371/journal.pone.0068296	2013	7-Jul			1.0		overlapping microscopy images,but rotated/stretched	1	5/8/15		1.0		1	[['Int J Mol Sci', 'Sci Rep', 'World J Stem Cells'], ['Int J Mol Sci', 'Nephrol Dial Transplant', 'Curr Pharm Des'], ['Cell Physiol Biochem', 'PLoS One', 'Kidney Int'], ['Int J Mol Sci', 'World J Stem Cells', 'Stem Cells Int'], ['Semin Nephrol', 'Kidney Int Rep', 'EBioMedicine'], ['Br J Surg', 'J Clin Oncol', 'Lancet Oncol'], ['Nat Rev Dis Primers', 'Semin Nephrol', 'Int J Mol Sci']]	[3.56, 3.31, 0.62, 1.67, 1.85, 1.58, 6.96]	16	PhD	-1	5	Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	Jia Ma, Qing Zhang, Sulian Chen, Binbin Fang, Qingling Yang, Changjie Chen, Lucio Miele, Fazlul H. Sarkar, Jun Xia, Zhiwei Wang	Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485	10.1371/journal.pone.0069485	2013	7-Jul				1	multiple overlapping microscopy images, groups of cells visible in multiple images	1	11/25/14		1.0		1	[['J Med Virol', 'Semin Cancer Biol', 'Int Ophthalmol'], ['Pharmacol Res', 'Biochim Biophys Acta Mol Basis Dis', 'J Cell Mol Med'], ['J Clin Nurs', 'Molecules', 'Curr Pharm Des'], ['Theranostics', 'Basic Res Cardiol', 'Front Immunol'], ['Biomed Pharmacother', 'FASEB J', 'EMBO Rep'], ['J Clin Oncol', 'Biomed Pharmacother', 'Biochim Biophys Acta'], ['Adv Exp Med Biol', 'Nat Rev Drug Discov', 'Nat Rev Clin Oncol'], ['Cancer Lett', 'Breast Cancer Res Treat', 'J Nutr'], ['Lancet Psychiatry', 'Trends Cell Biol', 'Neurosci Biobehav Rev'], ['Mol Ther', 'Free Radic Biol Med', 'Mol Cancer']]	[10.53, 22.22, 2.67, 2.5, 5.17, 3.35, 9.48, 11.11, 20.0, 25.0]	19	-1	-1	5	Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	Yael Friedman-Levi, Michal Mizrahi, Kati Frid, Orli Binyamin, Ruth Gabizon 	PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583	10.1371/journal.pone.0069583	2013	7-Jul				1	possible duplicated lanes within same blot, patch in other blot	1	7/20/15		1.0		1	[['Exp Neurol', 'Ann Clin Transl Neurol', 'J Neurotrauma'], ['JAMA', 'ACS Appl Mater Interfaces', 'PLoS One'], ['Neurobiol Aging', 'Ann Clin Transl Neurol', 'Neurobiol Dis'], ['Neurobiol Aging', 'Mult Scler Relat Disord', 'Ann Clin Transl Neurol'], ['Handb Clin Neurol', 'Neurobiol Aging', 'Ann Clin Transl Neurol']]	[1.25, 0.5, 1.62, 1.55, 2.19]	16	Doctor of Philosophy	Pharmacology	5	Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
